timestamp,step,pair_name,spot_symbol,future_symbol,signal,status,failure_reason,spot_bid,spot_ask,spot_bid_size,spot_ask_size,future_bid,future_ask,future_bid_size,future_ask_size,long_spot_short_future_pct,short_spot_long_future_pct,mid_basis_pct,long_spot_short_future_ticks,short_spot_long_future_ticks,pricing_spot_tick_size,pricing_future_tick_size,position_quantity,position_direction,spot_tick_size,future_tick_size,time
1779325201259528000,1,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,75.0,20.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:01.259528+08:00
1779325202259528000,2,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,75.0,20.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:02.259528+08:00
1779325203259528000,3,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,76.0,22.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:03.259528+08:00
1779325204259528000,4,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,76.0,22.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:04.259528+08:00
1779325205259528000,5,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,78.0,25.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:05.259528+08:00
1779325206259528000,6,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,78.0,25.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:06.259528+08:00
1779325207259528000,7,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,78.0,26.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:07.259528+08:00
1779325208259528000,8,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,78.0,26.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:08.259528+08:00
1779325209259528000,9,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,78.0,26.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:09.259528+08:00
1779325210259528000,10,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.75,45.800000000000004,78.0,29.0,45.5,46.85,1.0,10.0,-0.006550218340611446,0.024043715846994565,0.008738394320043504,-4.8320000000000425,-12.830000000000014,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 09:00:10.259528+08:00
