trade_date,ldate,status,config_path,target_path,target_count,pair_count,error
2026-05-21,,existing,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260521.json,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_targets/target_futures_20260521.csv,,43,
2026-05-22,,existing,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260522.json,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_targets/target_futures_20260522.csv,,48,
2026-05-25,,existing,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260525.json,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_targets/target_futures_20260525.csv,,49,
2026-05-26,,existing,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_configs/arbitrage_config_20260526.json,/home/zoufuc/hftbacktest/future_spot/output/hbt_daily_full_market_20260521_20260526/daily_targets/target_futures_20260526.csv,,55,
