ev        , exch_ts            , local_ts           , px  , qty , order_id, ival, fval
3489660932, 1757377829710146000, 1757377829710146000, 1210,  221,        0,    0,    0
3489660932, 1757377829710146000, 1757377829710146000, 1215,   69,        0,    0,    0
3758096387, 1757377834727807000, 1757377834727807000, 1170,    0,        0,    0,    0
3758096388, 1757377834727807000, 1757377834727807000, 1190,  307,        0,    0,    0
3758096388, 1757377834727807000, 1757377834727807000, 1185,  313,        0,    0,    0
3758096388, 1757377834727807000, 1757377834727807000, 1180,   73,        0,    0,    0
3758096388, 1757377834727807000, 1757377834727807000, 1175,   31,        0,    0,    0
3758096388, 1757377834727807000, 1757377834727807000, 1170,   55,        0,    0,    0
3489660931, 1757377834727807000, 1757377834727807000, 1215,    0,        0,    0,    0
3489660932, 1757377834727807000, 1757377834727807000, 1195,   81,        0,    0,    0
3489660932, 1757377834727807000, 1757377834727807000, 1200,  517,        0,    0,    0
3489660932, 1757377834727807000, 1757377834727807000, 1205,  262,        0,    0,    0
3489660932, 1757377834727807000, 1757377834727807000, 1210,  420,        0,    0,    0
3489660932, 1757377834727807000, 1757377834727807000, 1215,  124,        0,    0,    0
3758096387, 1757377839743423000, 1757377839743423000, 1170,    0,        0,    0,    0
3758096388, 1757377839743423000, 1757377839743423000, 1190,  414,        0,    0,    0
3758096388, 1757377839743423000, 1757377839743423000, 1185,  415,        0,    0,    0
3758096388, 1757377839743423000, 1757377839743423000, 1180,   84,        0,    0,    0
3758096388, 1757377839743423000, 1757377839743423000, 1175,   36,        0,    0,    0
3758096388, 1757377839743423000, 1757377839743423000, 1170,   60,        0,    0,    0
3489660931, 1757377839743423000, 1757377839743423000, 1215,    0,        0,    0,    0
3489660932, 1757377839743423000, 1757377839743423000, 1195,    6,        0,    0,    0
3489660932, 1757377839743423000, 1757377839743423000, 1200,  697,        0,    0,    0
3489660932, 1757377839743423000, 1757377839743423000, 1205,  464,        0,    0,    0
3489660932, 1757377839743423000, 1757377839743423000, 1210,  560,        0,    0,    0
3489660932, 1757377839743423000, 1757377839743423000, 1215,  139,        0,    0,    0
3758096387, 1757377844759058000, 1757377844759058000, 1170,    0,        0,    0,    0
3758096388, 1757377844759058000, 1757377844759058000, 1190,  415,        0,    0,    0
3758096388, 1757377844759058000, 1757377844759058000, 1185,  415,        0,    0,    0
3758096388, 1757377844759058000, 1757377844759058000, 1180,   89,        0,    0,    0
3758096388, 1757377844759058000, 1757377844759058000, 1175,   37,        0,    0,    0
3758096388, 1757377844759058000, 1757377844759058000, 1170,   66,        0,    0,    0
3489660931, 1757377844759058000, 1757377844759058000, 1215,    0,        0,    0,    0
3489660932, 1757377844759058000, 1757377844759058000, 1195,   17,        0,    0,    0
3489660932, 1757377844759058000, 1757377844759058000, 1200,  740,        0,    0,    0
3489660932, 1757377844759058000, 1757377844759058000, 1205,  583,        0,    0,    0
3489660932, 1757377844759058000, 1757377844759058000, 1210,  682,        0,    0,    0
3489660932, 1757377844759058000, 1757377844759058000, 1215,  345,        0,    0,    0
3758096387, 1757377849772607000, 1757377849772607000, 1170,    0,        0,    0,    0
3758096388, 1757377849772607000, 1757377849772607000, 1190,  420,        0,    0,    0
3758096388, 1757377849772607000, 1757377849772607000, 1185,  421,        0,    0,    0
3758096388, 1757377849772607000, 1757377849772607000, 1180,   95,        0,    0,    0
3758096388, 1757377849772607000, 1757377849772607000, 1175,   37,        0,    0,    0
3758096388, 1757377849772607000, 1757377849772607000, 1170,   67,        0,    0,    0
3489660931, 1757377849772607000, 1757377849772607000, 1215,    0,        0,    0,    0
3489660932, 1757377849772607000, 1757377849772607000, 1195,  118,        0,    0,    0
3489660932, 1757377849772607000, 1757377849772607000, 1200,  769,        0,    0,    0
3489660932, 1757377849772607000, 1757377849772607000, 1205,  615,        0,    0,    0
3489660932, 1757377849772607000, 1757377849772607000, 1210, 1024,        0,    0,    0
3489660932, 1757377849772607000, 1757377849772607000, 1215,  352,        0,    0,    0
3758096387, 1757377854786176000, 1757377854786176000, 1170,    0,        0,    0,    0
3758096388, 1757377854786176000, 1757377854786176000, 1190,  424,        0,    0,    0
3758096388, 1757377854786176000, 1757377854786176000, 1185,  426,        0,    0,    0
3758096388, 1757377854786176000, 1757377854786176000, 1180,  110,        0,    0,    0
3758096388, 1757377854786176000, 1757377854786176000, 1175,   49,        0,    0,    0
3758096388, 1757377854786176000, 1757377854786176000, 1170,   76,        0,    0,    0
3489660931, 1757377854786176000, 1757377854786176000, 1215,    0,        0,    0,    0
3489660932, 1757377854786176000, 1757377854786176000, 1195,  119,        0,    0,    0
3489660932, 1757377854786176000, 1757377854786176000, 1200,  833,        0,    0,    0
3489660932, 1757377854786176000, 1757377854786176000, 1205,  643,        0,    0,    0
3489660932, 1757377854786176000, 1757377854786176000, 1210, 1060,        0,    0,    0
3489660932, 1757377854786176000, 1757377854786176000, 1215,  360,        0,    0,    0
3758096387, 1757377859799752000, 1757377859799752000, 1170,    0,        0,    0,    0
3758096388, 1757377859799752000, 1757377859799752000, 1190,  425,        0,    0,    0
3758096388, 1757377859799752000, 1757377859799752000, 1185,  427,        0,    0,    0
3758096388, 1757377859799752000, 1757377859799752000, 1180,  115,        0,    0,    0
3758096388, 1757377859799752000, 1757377859799752000, 1175,   49,        0,    0,    0
3758096388, 1757377859799752000, 1757377859799752000, 1170,   81,        0,    0,    0
3489660931, 1757377859799752000, 1757377859799752000, 1215,    0,        0,    0,    0
3489660932, 1757377859799752000, 1757377859799752000, 1195,  102,        0,    0,    0
3489660932, 1757377859799752000, 1757377859799752000, 1200,  860,        0,    0,    0
3489660932, 1757377859799752000, 1757377859799752000, 1205,  661,        0,    0,    0
3489660932, 1757377859799752000, 1757377859799752000, 1210, 1072,        0,    0,    0
3489660932, 1757377859799752000, 1757377859799752000, 1215,  366,        0,    0,    0
3758096387, 1757377864815370000, 1757377864815370000, 1170,    0,        0,    0,    0
3758096388, 1757377864815370000, 1757377864815370000, 1190,  427,        0,    0,    0
3758096388, 1757377864815370000, 1757377864815370000, 1185,  449,        0,    0,    0
3758096388, 1757377864815370000, 1757377864815370000, 1180,  124,        0,    0,    0
3758096388, 1757377864815370000, 1757377864815370000, 1175,   51,        0,    0,    0
3758096388, 1757377864815370000, 1757377864815370000, 1170,   84,        0,    0,    0
3489660931, 1757377864815370000, 1757377864815370000, 1215,    0,        0,    0,    0
3489660932, 1757377864815370000, 1757377864815370000, 1195,   51,        0,    0,    0
3489660932, 1757377864815370000, 1757377864815370000, 1200,  894,        0,    0,    0
3489660932, 1757377864815370000, 1757377864815370000, 1205,  685,        0,    0,    0
3489660932, 1757377864815370000, 1757377864815370000, 1210, 1106,        0,    0,    0
3489660932, 1757377864815370000, 1757377864815370000, 1215,  386,        0,    0,    0
3758096387, 1757377869833021000, 1757377869833021000, 1175,    0,        0,    0,    0
3758096388, 1757377869833021000, 1757377869833021000, 1195,   61,        0,    0,    0
3758096388, 1757377869833021000, 1757377869833021000, 1190,  429,        0,    0,    0
3758096388, 1757377869833021000, 1757377869833021000, 1185,  461,        0,    0,    0
3758096388, 1757377869833021000, 1757377869833021000, 1180,  143,        0,    0,    0
3758096388, 1757377869833021000, 1757377869833021000, 1175,   55,        0,    0,    0
3489660931, 1757377869833021000, 1757377869833021000, 1220,    0,        0,    0,    0
3489660932, 1757377869833021000, 1757377869833021000, 1200,  962,        0,    0,    0
3489660932, 1757377869833021000, 1757377869833021000, 1205,  709,        0,    0,    0
3489660932, 1757377869833021000, 1757377869833021000, 1210, 1120,        0,    0,    0
3489660932, 1757377869833021000, 1757377869833021000, 1215,  390,        0,    0,    0
3489660932, 1757377869833021000, 1757377869833021000, 1220,  514,        0,    0,    0
3758096387, 1757377874847621000, 1757377874847621000, 1175,    0,        0,    0,    0
3758096388, 1757377874847621000, 1757377874847621000, 1195,   53,        0,    0,    0
3758096388, 1757377874847621000, 1757377874847621000, 1190,  429,        0,    0,    0
3758096388, 1757377874847621000, 1757377874847621000, 1185,  474,        0,    0,    0
3758096388, 1757377874847621000, 1757377874847621000, 1180,  148,        0,    0,    0
3758096388, 1757377874847621000, 1757377874847621000, 1175,   58,        0,    0,    0
3489660931, 1757377874847621000, 1757377874847621000, 1220,    0,        0,    0,    0
3489660932, 1757377874847621000, 1757377874847621000, 1200, 1019,        0,    0,    0
3489660932, 1757377874847621000, 1757377874847621000, 1205,  753,        0,    0,    0
3489660932, 1757377874847621000, 1757377874847621000, 1210, 1140,        0,    0,    0
3489660932, 1757377874847621000, 1757377874847621000, 1215,  398,        0,    0,    0
3489660932, 1757377874847621000, 1757377874847621000, 1220,  536,        0,    0,    0
3758096387, 1757377879863239000, 1757377879863239000, 1175,    0,        0,    0,    0
3758096388, 1757377879863239000, 1757377879863239000, 1195,   40,        0,    0,    0
3758096388, 1757377879863239000, 1757377879863239000, 1190,  431,        0,    0,    0
3758096388, 1757377879863239000, 1757377879863239000, 1185,  814,        0,    0,    0
3758096388, 1757377879863239000, 1757377879863239000, 1180,  160,        0,    0,    0
3758096388, 1757377879863239000, 1757377879863239000, 1175,   61,        0,    0,    0
3489660931, 1757377879863239000, 1757377879863239000, 1220,    0,        0,    0,    0
3489660932, 1757377879863239000, 1757377879863239000, 1200, 1044,        0,    0,    0
3489660932, 1757377879863239000, 1757377879863239000, 1205,  800,        0,    0,    0
3489660932, 1757377879863239000, 1757377879863239000, 1210, 1163,        0,    0,    0
3489660932, 1757377879863239000, 1757377879863239000, 1215,  405,        0,    0,    0
3489660932, 1757377879863239000, 1757377879863239000, 1220,  546,        0,    0,    0
3758096387, 1757377884879884000, 1757377884879884000, 1175,    0,        0,    0,    0
3758096388, 1757377884879884000, 1757377884879884000, 1195,   34,        0,    0,    0
3758096388, 1757377884879884000, 1757377884879884000, 1190,  432,        0,    0,    0
3758096388, 1757377884879884000, 1757377884879884000, 1185,  816,        0,    0,    0
3758096388, 1757377884879884000, 1757377884879884000, 1180,  214,        0,    0,    0
3758096388, 1757377884879884000, 1757377884879884000, 1175,   64,        0,    0,    0
3489660931, 1757377884879884000, 1757377884879884000, 1220,    0,        0,    0,    0
3489660932, 1757377884879884000, 1757377884879884000, 1200, 1084,        0,    0,    0
3489660932, 1757377884879884000, 1757377884879884000, 1205,  833,        0,    0,    0
3489660932, 1757377884879884000, 1757377884879884000, 1210, 1191,        0,    0,    0
3489660932, 1757377884879884000, 1757377884879884000, 1215,  413,        0,    0,    0
3489660932, 1757377884879884000, 1757377884879884000, 1220,  553,        0,    0,    0
3758096387, 1757377889895501000, 1757377889895501000, 1175,    0,        0,    0,    0
3758096388, 1757377889895501000, 1757377889895501000, 1195,   40,        0,    0,    0
3758096388, 1757377889895501000, 1757377889895501000, 1190,  433,        0,    0,    0
3758096388, 1757377889895501000, 1757377889895501000, 1185,  818,        0,    0,    0
3758096388, 1757377889895501000, 1757377889895501000, 1180,  226,        0,    0,    0
3758096388, 1757377889895501000, 1757377889895501000, 1175,   68,        0,    0,    0
3489660931, 1757377889895501000, 1757377889895501000, 1220,    0,        0,    0,    0
3489660932, 1757377889895501000, 1757377889895501000, 1200, 1127,        0,    0,    0
3489660932, 1757377889895501000, 1757377889895501000, 1205,  860,        0,    0,    0
3489660932, 1757377889895501000, 1757377889895501000, 1210, 1223,        0,    0,    0
3489660932, 1757377889895501000, 1757377889895501000, 1215,  419,        0,    0,    0
3489660932, 1757377889895501000, 1757377889895501000, 1220,  556,        0,    0,    0
3758096387, 1757377894911125000, 1757377894911125000, 1175,    0,        0,    0,    0
3758096388, 1757377894911125000, 1757377894911125000, 1195,   32,        0,    0,    0
3758096388, 1757377894911125000, 1757377894911125000, 1190,  435,        0,    0,    0
3758096388, 1757377894911125000, 1757377894911125000, 1185,  820,        0,    0,    0
3758096388, 1757377894911125000, 1757377894911125000, 1180,  229,        0,    0,    0
3758096388, 1757377894911125000, 1757377894911125000, 1175,  120,        0,    0,    0
3489660931, 1757377894911125000, 1757377894911125000, 1220,    0,        0,    0,    0
3489660932, 1757377894911125000, 1757377894911125000, 1200, 1173,        0,    0,    0
3489660932, 1757377894911125000, 1757377894911125000, 1205,  874,        0,    0,    0
3489660932, 1757377894911125000, 1757377894911125000, 1210, 1243,        0,    0,    0
3489660932, 1757377894911125000, 1757377894911125000, 1215,  430,        0,    0,    0
3489660932, 1757377894911125000, 1757377894911125000, 1220,  583,        0,    0,    0
3758096387, 1757377899928796000, 1757377899928796000, 1175,    0,        0,    0,    0
