symbol,future_symbol,open,high,low,close,volume,trades,first_time,last_time,month,underlying_symbol,stock_name,unit,symbol_StockDaily,StopDayTrade,volume_StockDaily,trades_StockDaily,amount,Open,Close,High,Low,Change
CAFF6,CA,89.5,90.0,86.9,87.2,4891,1830,2026-05-22 08:45:00.049,2026-05-22 13:44:52.479,F,1303,?n??,2000.0,1303,X,45973684.0,37782.0,4024928072.0,88.0,86.7,89.1,86.7,0.6
CGFF6,CG,30.650000000000002,32.15,30.3,31.55,6735,2155,2026-05-22 08:45:00.051,2026-05-22 13:44:53.404,F,2324,???_,2000.0,2324,X,199926271.0,68434.0,6320095709.0,30.95,31.5,32.2,30.5,1.15
CHFF6,CH,20.400000000000002,22.2,20.35,22.2,10110,1837,2026-05-22 08:45:00.049,2026-05-22 13:38:14.845,F,2409,??F,2000.0,2409,X,394425774.0,88361.0,8576715690.0,20.85,22.2,22.2,20.55,2.0
CSFF6,CS,36.15,37.45,35.4,37.1,3480,1304,2026-05-22 08:45:00.051,2026-05-22 13:44:53.231,F,1605,??s,2000.0,1605,X,60349986.0,25589.0,2194311670.0,35.7,36.5,37.1,35.3,1.0
CYFF6,CY,297.5,324.0,297.5,314.5,19852,6952,2026-05-22 08:45:00.049,2026-05-22 13:44:59.399,F,2408,?n???,2000.0,2408,X,157819181.0,126835.0,49097892683.0,299.5,310.5,321.0,296.0,17.5
CZFF6,CZ,214.5,222.0,214.5,221.5,1672,490,2026-05-22 08:45:00.085,2026-05-22 13:44:56.950,F,2603,???a,2000.0,2603,X,30119281.0,22764.0,6550430773.0,214.5,219.0,219.0,214.0,7.0
DAFF6,DA,52.0,54.4,51.800000000000004,53.6,3162,920,2026-05-22 08:45:00.052,2026-05-22 13:44:15.835,F,2609,????,2000.0,2609,X,44488347.0,22257.0,2353358199.0,51.9,53.0,53.9,51.8,1.9
DHFF6,DH,252.0,254.0,246.5,253.5,5893,1956,2026-05-22 08:45:00.049,2026-05-22 13:44:54.706,F,2317,?E??,2000.0,2317,X,56310552.0,42953.0,14068289262.0,249.0,250.0,251.5,245.0,2.5
DIFF6,DI,144.5,154.5,144.5,151.5,9795,3392,2026-05-22 08:45:00.049,2026-05-22 13:44:59.778,F,2337,????,2000.0,2337,X,112827275.0,75929.0,16848938310.0,144.0,149.5,152.5,143.5,8.5
DKFF6,DK,312.0,318.0,305.0,317.0,1764,831,2026-05-22 08:46:22.313,2026-05-22 13:44:39.680,F,2382,?s?F,2000.0,2382,X,36233592.0,28696.0,11380951543.0,310.0,316.0,317.0,305.5,8.0
