symbol,future_symbol,open,high,low,close,volume,trades,first_time,last_time,month,underlying_symbol,stock_name,unit,symbol_StockDaily,StopDayTrade,volume_StockDaily,trades_StockDaily,amount,Open,Close,High,Low,Change
CAFF6,CA,88.0,89.9,86.9,88.2,3517,1164,2026-05-25 08:45:00.038,2026-05-25 13:05:20.732,F,1303,?n??,2000.0,1303,X,32588153.0,20792.0,2856493095.0,87.4,87.1,89.2,86.4,0.4
CBFF6,CB,18.5,20.150000000000002,18.5,20.150000000000002,1285,462,2026-05-25 08:45:00.042,2026-05-25 12:38:13.727,F,2002,????,2000.0,2002,X,209932398.0,58835.0,4077242979.0,18.5,19.95,19.95,18.5,1.8
CGFF6,CG,32.55,34.7,32.2,34.7,5943,1714,2026-05-25 08:45:00.038,2026-05-25 13:03:22.201,F,2324,???_,2000.0,2324,X,279874397.0,78711.0,9629067031.0,33.5,34.65,34.65,33.3,3.15
CHFF6,CH,22.8,24.400000000000002,22.8,24.400000000000002,2866,662,2026-05-25 08:45:00.038,2026-05-25 12:56:45.381,F,2409,??F,2000.0,2409,X,82302936.0,20780.0,2006614918.0,24.35,24.4,24.4,24.15,2.2
CSFF6,CS,37.5,38.95,37.5,38.35,4572,1827,2026-05-25 08:45:00.039,2026-05-25 13:04:58.497,F,1605,??s,2000.0,1605,X,69693062.0,30761.0,2645505409.0,37.9,37.95,38.4,37.4,1.45
CXFF6,CX,30.150000000000002,31.400000000000002,29.75,30.7,1063,449,2026-05-25 08:45:53.438,2026-05-25 13:04:04.838,F,2371,?j?P,2000.0,2371,X,32220043.0,13606.0,976110498.0,29.95,30.4,31.15,29.55,0.9
CYFF6,CY,303.0,307.5,289.5,301.0,15071,6425,2026-05-25 08:45:00.038,2026-05-25 13:05:35.148,F,2408,?n???,2000.0,2408,X,155862832.0,158466.0,46339036561.0,295.0,296.0,303.5,288.0,14.5
CZFF6,CZ,224.0,224.5,217.0,217.5,1382,526,2026-05-25 08:45:00.040,2026-05-25 13:05:02.160,F,2603,???a,2000.0,2603,X,31059614.0,17332.0,6764671682.0,220.0,214.0,222.0,214.0,5.0
DAFF6,DA,55.0,55.0,50.7,51.800000000000004,2595,650,2026-05-25 08:45:00.039,2026-05-25 13:05:09.488,F,2609,????,2000.0,2609,X,29869029.0,18782.0,1548269632.0,53.0,51.8,53.1,51.0,1.2
DHFF6,DH,256.0,267.0,256.0,266.0,8460,3291,2026-05-25 08:45:00.038,2026-05-25 13:05:37.488,F,2317,?E??,2000.0,2317,X,122990174.0,107476.0,31917908130.0,255.0,261.0,263.5,255.0,11.0
