symbol,future_symbol,open,high,low,close,volume,trades,first_time,last_time,month,underlying_symbol,stock_name,unit,symbol_StockDaily,StopDayTrade,volume_StockDaily,trades_StockDaily,amount,Open,Close,High,Low,Change
CAFF6,CA,83.5,88.9,83.4,87.9,7710,2943,2026-05-21 08:45:00.087,2026-05-21 13:44:57.381,F,1303,?n??,2000.0,1303,X,71604549.0,36755.0,6229195962.0,83.1,87.3,88.3,83.1,6.5
CGFF6,CG,27.5,29.85,27.5,29.85,3569,708,2026-05-21 08:45:00.087,2026-05-21 13:44:50.452,F,2324,???_,2000.0,2324,X,113948110.0,40801.0,3377583778.0,27.9,30.35,30.35,27.9,2.75
CHFF6,CH,18.8,20.35,18.8,20.25,12420,3004,2026-05-21 08:45:00.085,2026-05-21 13:44:59.347,F,2409,??F,2000.0,2409,X,367725205.0,78698.0,7389343836.0,19.1,20.2,20.45,19.05,1.45
CSFF6,CS,33.9,36.75,33.9,35.9,2613,1096,2026-05-21 08:45:23.890,2026-05-21 13:43:53.426,F,1605,??s,2000.0,1605,X,61994602.0,26110.0,2207272495.0,33.7,35.5,36.3,33.7,2.4
CYFF6,CY,293.0,298.5,281.5,295.0,16838,6449,2026-05-21 08:45:00.085,2026-05-21 13:44:55.429,F,2408,?n???,2000.0,2408,X,149826596.0,115113.0,43245094529.0,291.5,293.0,295.0,280.0,18.0
CZFF6,CZ,214.0,215.0,211.5,214.0,1048,440,2026-05-21 08:45:00.087,2026-05-21 13:43:20.862,F,2603,???a,2000.0,2603,X,20652548.0,14805.0,4387375322.0,212.0,212.0,214.5,210.5,0.5
DHFF6,DH,246.0,251.0,245.5,248.0,4774,1689,2026-05-21 08:45:00.085,2026-05-21 13:44:59.148,F,2317,?E??,2000.0,2317,X,51483466.0,39019.0,12723783372.0,245.0,247.5,249.0,244.0,7.5
DIFF6,DI,149.5,151.0,142.0,143.0,7911,2976,2026-05-21 08:45:00.085,2026-05-21 13:44:28.976,F,2337,????,2000.0,2337,X,96638384.0,66304.0,13875397710.0,146.0,141.0,149.0,141.0,0.0
DKFF6,DK,297.0,312.0,297.0,307.5,1633,757,2026-05-21 08:45:00.088,2026-05-21 13:44:57.254,F,2382,?s?F,2000.0,2382,X,38942347.0,31749.0,11882580749.0,296.0,308.0,312.5,295.0,18.0
DQFF6,DQ,39.0,41.85,38.45,41.85,57150,10000,2026-05-21 08:45:00.085,2026-05-21 13:44:58.713,F,3481,?s??,2000.0,3481,X,524601290.0,148061.0,20927164736.0,38.0,40.6,40.6,38.0,3.65
DSFF6,DS,27.75,28.95,27.7,28.650000000000002,1638,492,2026-05-21 08:45:03.205,2026-05-21 13:44:57.131,F,2353,????,2000.0,2353,X,41238450.0,12862.0,1170226499.0,27.65,28.4,28.7,27.65,0.95
